#FeaturesAll
Kernel;C;Score
rbf;1e-05;0.0952
rbf;1e-04;0.0952
rbf;1e-03;0.0952
rbf;1e-02;0.244
rbf;1e-01;0.3677
rbf;1e+00;0.5449
rbf;1e+01;0.5573
rbf;1e+02;0.5567
rbf;1e+03;0.5567

poly;1e-05;0.13
poly;1e-04;0.2677
poly;1e-03;0.4202
poly;1e-02;0.5225
poly;1e-01;0.5566
poly;1e+00;0.5542
poly;1e+01;0.5419
poly;1e+02;0.5313
poly;1e+03;0.5255

sigmoid;1e-05;0.0952
sigmoid;1e-04;0.0952
sigmoid;1e-03;0.0952
sigmoid;1e-02;0.0952
sigmoid;1e-01;0.0952
sigmoid;1e+00;0.0952
sigmoid;1e+01;0.0952
sigmoid;1e+02;0.0952
sigmoid;1e+03;0.0952


#FeaturesHSV
rbf;1e-05;0.0952
rbf;1e-04;0.0952
rbf;1e-03;0.0952
rbf;1e-02;0.184
rbf;1e-01;0.2281
rbf;1e+00;0.2425
rbf;1e+01;0.2501
rbf;1e+02;0.2568
rbf;1e+03;0.2616

poly;1e-05;0.0952
poly;1e-04;0.0952
poly;1e-03;0.0952
poly;1e-02;0.0952
poly;1e-01;0.0952
poly;1e+00;0.0952
poly;1e+01;0.1727
poly;1e+02;0.2248
poly;1e+03;0.2501

sigmoid;1e-05;0.0952
sigmoid;1e-04;0.0952
sigmoid;1e-03;0.0952
sigmoid;1e-02;0.0952
sigmoid;1e-01;0.0952
sigmoid;1e+00;0.0952
sigmoid;1e+01;0.0952
sigmoid;1e+02;0.0952
sigmoid;1e+03;0.0952

FeaturesHOG
rbf;1e-05;0.0952
rbf;1e-04;0.0952
rbf;1e-03;0.0952
rbf;1e-02;0.1757
rbf;1e-01;0.3482
rbf;1e+00;0.5308
rbf;1e+01;0.5423
rbf;1e+02;0.5423
rbf;1e+03;0.5423

poly;1e-05;0.1366
poly;1e-04;0.2829
poly;1e-03;0.4309
poly;1e-02;0.5229
poly;1e-01;0.5476
poly;1e+00;0.5425
poly;1e+01;0.532
poly;1e+02;0.5216
poly;1e+03;0.5116

sigmoid;1e-05;0.0952
sigmoid;1e-04;0.0952
sigmoid;1e-03;0.0952
sigmoid;1e-02;0.0952
sigmoid;1e-01;0.0952
sigmoid;1e+00;0.0952
sigmoid;1e+01;0.0952
sigmoid;1e+02;0.0952
sigmoid;1e+03;0.0952
